key,hand,row,layout
0,Right,4,Dvorak
1,Left,4,Dvorak
3,Left,4,Dvorak
4,Left,4,Dvorak
5,Left,4,Dvorak
6,Left,4,Dvorak
7,Right,4,Dvorak
8,Right,4,Dvorak
9,Right,4,Dvorak
_,Right,2,Dvorak
-,Right,2,Dvorak
",",Left,3,Dvorak
;,Left,1,Dvorak
:,Left,1,Dvorak
!,Left,4,Dvorak
?,Right,3,Dvorak
.,Left,3,Dvorak
"""",Left,3,Dvorak
(,Right,4,Dvorak
),Right,4,Dvorak
[,Right,4,Dvorak
],Right,4,Dvorak
{,Right,4,Dvorak
},Right,4,Dvorak
@,Left,4,Dvorak
*,Right,4,Dvorak
/,Right,3,Dvorak
\,Right,3,Dvorak
&,Right,4,Dvorak
#,Left,4,Dvorak
%,Left,4,Dvorak
`,Left,4,Dvorak
^,Left,4,Dvorak
+,Left,3,Dvorak
<,Left,3,Dvorak
=,Right,3,Dvorak
>,Left,3,Dvorak
|,Right,3,Dvorak
~,Left,4,Dvorak
$,Left,4,Dvorak
a,Left,2,Dvorak
b,Right,1,Dvorak
c,Right,3,Dvorak
caps,Left,2,Dvorak
d,Right,2,Dvorak
delete,Right,4,Dvorak
e,Left,2,Dvorak
f,Right,3,Dvorak
g,Right,3,Dvorak
h,Right,2,Dvorak
i,Left,2,Dvorak
j,Left,1,Dvorak
k,Left,1,Dvorak
l,Right,3,Dvorak
left_ctrl,Left,0,Dvorak
left_shift,Left,1,Dvorak
m,Right,1,Dvorak
n,Right,2,Dvorak
o,Left,2,Dvorak
p,Left,3,Dvorak
q,Left,1,Dvorak
r,Right,3,Dvorak
return,Right,2,Dvorak
right_ctrl,Right,0,Dvorak
right_shift,Right,1,Dvorak
s,Right,2,Dvorak
t,Right,2,Dvorak
tab,Left,3,Dvorak
u,Left,2,Dvorak
v,Right,1,Dvorak
w,Right,1,Dvorak
x,Left,1,Dvorak
y,Left,3,Dvorak
z,Right,1,Dvorak
',Left,3,Dvorak
0,Right,4,Qwerty
1,Left,4,Qwerty
3,Left,4,Qwerty
4,Left,4,Qwerty
5,Left,4,Qwerty
6,Right,4,Qwerty
7,Right,4,Qwerty
8,Right,4,Qwerty
9,Right,4,Qwerty
_,Right,4,Qwerty
-,Right,4,Qwerty
",",Right,1,Qwerty
;,Right,2,Qwerty
:,Right,2,Qwerty
!,Left,4,Qwerty
?,Right,1,Qwerty
.,Right,1,Qwerty
"""",Right,2,Qwerty
(,Right,4,Qwerty
),Right,4,Qwerty
[,Right,3,Qwerty
],Right,3,Qwerty
{,Right,3,Qwerty
},Right,3,Qwerty
@,Left,4,Qwerty
*,Right,4,Qwerty
/,Right,1,Qwerty
\,Right,3,Qwerty
&,Right,4,Qwerty
#,Left,4,Qwerty
%,Left,4,Qwerty
`,Left,4,Qwerty
^,Right,4,Qwerty
+,Right,4,Qwerty
<,Right,1,Qwerty
=,Right,4,Qwerty
>,Right,1,Qwerty
|,Right,3,Qwerty
~,Left,4,Qwerty
$,Left,4,Qwerty
a,Left,2,Qwerty
b,Left,1,Qwerty
c,Left,1,Qwerty
caps,Left,2,Qwerty
d,Left,2,Qwerty
delete,Right,4,Qwerty
e,Left,3,Qwerty
f,Left,2,Qwerty
g,Left,2,Qwerty
h,Right,2,Qwerty
i,Right,3,Qwerty
j,Right,2,Qwerty
